"","Season","Winner","Runner-up","Third Place","Top Scorer","Top scorer's club(s)","Goals"
"0","1929","Barcelona ","Real Madrid ","Athletic Bilbao","Paco Bienzobas","Real Sociedad","14"
"1","1930","Athletic Bilbao ","Barcelona ","Arenas","Guillermo Gorostiza","Athletic Bilbao","19"
"2","1931","Athletic Bilbao ","Racing Santander ","Real Sociedad","Agustin Sauto Arana","Athletic Bilbao","27"
"3","1932","Real Madrid ","Athletic Bilbao ","Barcelona","Guillermo Gorostiza","Athletic Bilbao","12"
"4","1933","Real Madrid ","Athletic Bilbao ","Espanyol","Manuel Olivares","Real Madrid","16"
"5","1934","Athletic Bilbao ","Real Madrid ","Racing Santander","Isidro Langara","Real Oviedo","27"
"6","1935","Real Batis ","Real Madrid ","Real Oviedo","Isidro Langara","Real Oviedo","26"
"7","1936","Athletic Bilbao ","Real Madrid ","Real Oviedo","Isidro Langara","Real Oviedo","27"
"8","1937","Spanish Civil War League Cancelled","Spanish Civil War League Cancelled","Spanish Civil War (League Cancelled)","Spanish Civil War (League Cancelled)","Spanish Civil War (League Cancelled)","Spanish Civil War (League Cancelled)"
"9","1938","Spanish Civil War League Cancelled","Spanish Civil War League Cancelled","Spanish Civil War (League Cancelled)","Spanish Civil War (League Cancelled)","Spanish Civil War (League Cancelled)","Spanish Civil War (League Cancelled)"
"10","1939","Spanish Civil War League Cancelled","Spanish Civil War League Cancelled","Spanish Civil War (League Cancelled)","Spanish Civil War (League Cancelled)","Spanish Civil War (League Cancelled)","Spanish Civil War (League Cancelled)"
"11","1940","Athletic Aviation  [A]","Sevilla ","Athletic Bilbao","Vactor Unamuno","Athletic Bilbao","22"
"12","1941","Athletic Aviation ","Athletic Bilbao ","Valencia","Pruden","Atletico Aviacion","30"
"13","1942","Valencia ","Real Madrid ","Atletico Aviacion","Edmundo Suarez","Valencia","27"
"14","1943","Athletic Bilbao","Sevilla ","Barcelona","Mariano Martin","Barcelona","32"
"15","1944","Valencia ","Atletico Aviacion ","Sevilla","Edmundo Suarez","Valencia","27"
"16","1945","Barcelona ","Real Madrid ","Atletico Aviacion","Telmo Zarra","Atletico Bilbao","19"
"17","1946","Seville ","Barcelona ","Athletic Bilbao","Telmo Zarra","Atletico Bilbao","24"
"18","1947","Valencia ","Athletic Bilbao ","Atletico Aviacion","Telmo Zarra","Atletico Bilbao","34"
"19","1948","Barcelona ","Valencia ","Atletico Madrid","Pahino","Celta Vigo","23"
"20","1949","Barcelona ","Valencia ","Real Madrid","Cesar Rodriguez Alvarez","Barcelona","28"
"21","1950","Athletic Madrid ","Deportivo La Coruna ","Valencia","Telmo Zarra","Athletic Bilbao","25"
"22","1951","Athletic Madrid ","Sevilla ","Valencia","Telmo Zarra","Athletic Bilbao","38"
"23","1952","Barcelona ","Athletic Bilbao ","Real Madrid","Pahino","Real Madrid","28"
"24","1953","Barcelona ","Valencia ","Real Madrid","Telmo Zarra","Athletic Bilbao","24"
"25","1954","Real Madrid ","Barcelona ","Valencia","Alfredo Di Stefano","Real Madrid","27"
"26","1955","Real Madrid ","Barcelona ","Athletic Bilbao","Juan Arza","Sevilla","28"
"27","1956","Athletic Bilbao","Barcelona ","Real Madrid","Alfredo Di Stefano","Real Madrid","24"
"28","1957","Real Madrid  ","Sevilla ","Barcelona","Alfredo Di Stefano","Real Madrid","31"
"29","1958","Real Madrid  ","Atletico Madrid ","Barcelona","Manuel BadenesAlfredo Di StefanoRicardo","ValladolidReal MadridValencia","19"
"30","1959","Barcelona ","Real Madrid ","Athletic Bilbao","Alfredo Di Stefano","Real Madrid","23"
"31","1960","Barcelona ","Real Madrid ","Athletic Bilbao","Ferenc Puskas","Real Madrid","26"
"32","1961","Real Madrid ","Atletico Madrid ","Real Zaragoza","Ferenc Puskas","Real Madrid","27"
"33","1962","Real Madrid ","Barcelona ","Atletico Madrid","Juan Seminario","Zaragoza","25"
"34","1963","Real Madrid ","Atletico Madrid ","Real Oviedo","Ferenc Puskas","Real Madrid","26"
"35","1964","Real Madrid ","Barcelona ","Real Betis","Ferenc Puskas","Real Madrid","20"
